source,dsttarget,rating,timestamp
6,2,1,1289241912
6,5,1,1289241942
1,12,1,1289243140
4,3,1,1289245277
11,13,1,1289254254
11,10,1,1289254301
7,5,1,1289362700
2,17,1,1289370557
2,16,1,1289370622
17,2,1,1289380982
17,1,1,1289441411
17,10,1,1289441438
17,8,1,1289441451
17,3,1,1289441526
14,3,1,1289442313
14,18,1,1289489668
10,1,1,1289555656
10,6,1,1289555731
10,17,1,1289555746
10,8,1,1289555768
10,19,1,1289555842
10,2,1,1289555871
10,3,1,1289555876
4,20,1,1289641694
20,4,1,1289641704
5,1,1,1289660299
5,6,1,1289660319
5,7,1,1289660347
1,5,1,1289710643
6,4,1,1289770700
4,6,1,1289770757
2,4,1,1289771304
14,21,1,1289836082
14,11,1,1289873368
11,14,1,1289873612
11,22,1,1290088212
22,11,1,1290090118
14,16,1,1290108487
4,23,1,1290197549
23,4,1,1290197554
24,6,1,1290300442
11,1,1,1290520564
7,26,1,1290644458
26,7,1,1290644477
24,1,1,1290666928
1,24,1,1290666953
1,26,1,1290750434
26,1,1,1290752776
26,11,1,1290758643
11,26,1,1290761557
6,7,1,1290826367
7,6,1,1290826591
1,14,1,1290969237
1,23,1,1291052765
23,1,1,1291055973
27,6,1,1291056175
1,11,1,1291090931
28,29,1,1291157823
29,28,1,1291159845
27,1,1,1291159911
14,1,1,1291217882
8,1,1,1291315232
7,22,1,1291376110
1,16,1,1291505266
29,32,1,1291515528
32,29,1,1291515697
30,33,1,1291578872
30,7,1,1291590274
30,32,1,1291591178
32,30,1,1291591212
18,14,1,1291623781
18,15,1,1291623788
28,34,1,1291684580
34,28,1,1291684612
35,1,1,1291740271
11,7,1,1291757016
7,11,1,1291757032
22,36,1,1292070534
36,22,1,1292071379
22,37,1,1292085237
37,22,1,1292085280
33,30,1,1292099161
33,38,1,1292189306
38,33,1,1292189413
33,39,1,1292193828
39,33,1,1292195062
1,39,1,1292196392
39,1,1,1292196407
7,3,1,1292200462
28,31,1,1292206237
31,28,1,1292206272
28,17,1,1292297573
17,28,1,1292297608
7,28,1,1292361186
28,7,1,1292361299
7,38,1,1292442402
38,7,1,1292442433
7,40,1,1292447857
40,7,1,1292490376
22,7,1,1292716197
4,42,1,1292795818
30,17,1,1292819158
17,30,1,1292819329
4,44,1,1292823618
44,4,1,1292823672
44,16,1,1292823684
44,2,1,1292823728
27,47,1,1292920839
47,27,1,1292935948
41,1,1,1292957157
1,41,1,1292957196
4,48,1,1293050723
48,4,1,1293054743
17,7,1,1293191605
7,16,1,1293409871
27,50,1,1293448473
27,51,1,1293448479
30,50,1,1293453342
50,30,1,1293453456
50,27,1,1293453463
1,52,1,1293481238
52,1,1,1293481552
7,21,1,1293481689
21,7,1,1293482235
4,53,1,1293523499
